latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.0886,-5.8802,300.4,1.1,1,2021-01-02,1125,Terra,MODIS,37,6.03,287.8,5.1,D,0
36.6599,-4.8777,305.5,1.8,1.3,2021-01-02,1304,Aqua,MODIS,62,6.03,282.8,21.3,D,0
36.8729,-2.4486,304.8,1.2,1.1,2021-01-02,2228,Terra,MODIS,62,6.03,277.7,13.9,N,0
36.8745,-2.4347,334.7,1.2,1.1,2021-01-02,2228,Terra,MODIS,100,6.03,279.1,53.3,N,2
40.2352,-0.8699,320.1,1.1,1.1,2021-01-04,1112,Terra,MODIS,80,6.03,276,26.4,D,0
40.8273,-0.2433,307.2,1.2,1.1,2021-01-04,1112,Terra,MODIS,65,6.03,278.6,14.5,D,0
40.2329,-0.8569,303,1.1,1.1,2021-01-04,1112,Terra,MODIS,55,6.03,275.1,11.1,D,0
43.5413,-5.8322,317.1,1,1,2021-01-04,2218,Terra,MODIS,94,6.03,271.8,21,N,2
41.6403,-3.8539,300.9,1.8,1.3,2021-01-07,1142,Terra,MODIS,43,6.03,273.8,20.8,D,0
41.6448,-3.8641,315.8,1,1,2021-01-07,1324,Aqua,MODIS,76,6.03,276.7,18.1,D,0
40.17,-6.4271,304.5,1,1,2021-01-11,1118,Terra,MODIS,59,6.03,279.7,9.6,D,0
43.5317,-5.8404,302.9,1.7,1.3,2021-01-11,1300,Aqua,MODIS,50,6.03,281.7,16.9,D,0
42.8393,-8.9623,303.2,1.6,1.2,2021-01-12,1200,Terra,MODIS,55,6.03,280.7,16.7,D,0
42.1231,-6.5841,306.7,2.2,1.5,2021-01-12,1200,Terra,MODIS,64,6.03,277.4,36.1,D,0
42.117,-6.5575,308.6,2.3,1.5,2021-01-12,1200,Terra,MODIS,67,6.03,278.8,40.4,D,0
41.8279,-5.7817,309,1.3,1.1,2021-01-13,1106,Terra,MODIS,68,6.03,275.3,18.6,D,0
43.5398,-5.8373,303.1,1.1,1,2021-01-13,2212,Terra,MODIS,53,6.03,275.1,11.4,N,2
37.4925,-6.2313,302.1,1,1,2021-01-14,1329,Aqua,MODIS,51,6.03,287,5.7,D,0
38.8857,-6.2679,301.6,1,1,2021-01-14,1329,Aqua,MODIS,45,6.03,281.8,7.1,D,0
38.807,-6.8319,301.4,1,1,2021-01-14,1329,Aqua,MODIS,47,6.03,281.5,7.2,D,0
38.6785,-4.0482,312.8,1.3,1.1,2021-01-15,1054,Terra,MODIS,73,6.03,281.4,21.7,D,0
37.3141,-6.5847,301.7,1.4,1.2,2021-01-16,1316,Aqua,MODIS,49,6.03,289.8,7.4,D,0
38.2837,-3.6152,309.4,1.1,1,2021-01-16,1316,Aqua,MODIS,69,6.03,285.6,10.6,D,0
38.7012,-3.7307,321.4,1.1,1,2021-01-16,1317,Aqua,MODIS,81,6.03,286.4,21.4,D,0
38.7031,-3.7189,312.7,1.1,1,2021-01-16,1317,Aqua,MODIS,73,6.03,285.6,13.1,D,0
38.6641,-2.8393,308.7,1,1,2021-01-16,1317,Aqua,MODIS,68,6.03,284,10.7,D,0
43.5342,-5.8365,313.4,1.1,1,2021-01-16,1318,Aqua,MODIS,74,6.03,285.4,15.9,D,0
