,t_2m:C,precip_1h:mm,wind_speed_10m:ms,Latitud,Longitud,Fecha,Hora
0,7.0,0.0,0.9,43.3133868,-5.94192,2020-01-01,00
1,6.7,0.0,0.9,43.3133868,-5.94192,2020-01-01,01
2,6.5,0.0,0.9,43.3133868,-5.94192,2020-01-01,02
3,6.4,0.0,0.6,43.3133868,-5.94192,2020-01-01,03
4,5.6,0.0,1.0,43.3133868,-5.94192,2020-01-01,04
5,4.9,0.0,1.2,43.3133868,-5.94192,2020-01-01,05
6,5.4,0.0,0.5,43.3133868,-5.94192,2020-01-01,06
7,5.8,0.0,0.7,43.3133868,-5.94192,2020-01-01,07
8,5.3,0.0,1.0,43.3133868,-5.94192,2020-01-01,08
9,6.3,0.0,1.0,43.3133868,-5.94192,2020-01-01,09
10,8.3,0.0,0.9,43.3133868,-5.94192,2020-01-01,10
11,9.9,0.0,0.2,43.3133868,-5.94192,2020-01-01,11
12,10.6,0.0,0.7,43.3133868,-5.94192,2020-01-01,12
13,10.8,0.0,0.3,43.3133868,-5.94192,2020-01-01,13
14,10.9,0.0,0.7,43.3133868,-5.94192,2020-01-01,14
15,10.7,0.0,0.4,43.3133868,-5.94192,2020-01-01,15
16,9.5,0.0,0.7,43.3133868,-5.94192,2020-01-01,16
17,8.7,0.0,0.5,43.3133868,-5.94192,2020-01-01,17
18,7.2,0.0,0.5,43.3133868,-5.94192,2020-01-01,18
19,5.5,0.0,0.7,43.3133868,-5.94192,2020-01-01,19
20,5.6,0.0,0.6,43.3133868,-5.94192,2020-01-01,20
21,5.1,0.0,0.7,43.3133868,-5.94192,2020-01-01,21
22,5.6,0.0,0.7,43.3133868,-5.94192,2020-01-01,22
23,6.0,0.0,0.8,43.3133868,-5.94192,2020-01-01,23
24,6.1,0.0,0.8,43.3133868,-5.94192,2020-01-02,00
25,4.5,0.0,1.1,43.3133868,-5.94192,2020-01-02,01
26,4.5,0.0,0.9,43.3133868,-5.94192,2020-01-02,02
27,4.4,0.0,0.8,43.3133868,-5.94192,2020-01-02,03
28,3.6,0.0,0.9,43.3133868,-5.94192,2020-01-02,04
29,3.2,0.0,0.8,43.3133868,-5.94192,2020-01-02,05
30,2.2,0.0,0.9,43.3133868,-5.94192,2020-01-02,06
31,2.0,0.0,0.8,43.3133868,-5.94192,2020-01-02,07
32,2.3,0.0,0.5,43.3133868,-5.94192,2020-01-02,08
33,3.4,0.0,0.6,43.3133868,-5.94192,2020-01-02,09
34,6.3,0.0,0.7,43.3133868,-5.94192,2020-01-02,10
