,t_2m:C,precip_1h:mm,wind_speed_10m:ms,Latitud,Longitud,Fecha,Hora
0,2.9,0.0,1.5,43.1595664,-4.0878382,2020-01-01,00
1,3.2,0.0,0.8,43.1595664,-4.0878382,2020-01-01,01
2,2.7,0.0,1.0,43.1595664,-4.0878382,2020-01-01,02
3,2.2,0.0,0.7,43.1595664,-4.0878382,2020-01-01,03
4,1.3,0.0,0.7,43.1595664,-4.0878382,2020-01-01,04
5,1.9,0.0,0.4,43.1595664,-4.0878382,2020-01-01,05
6,2.0,0.0,0.6,43.1595664,-4.0878382,2020-01-01,06
7,2.3,0.0,0.9,43.1595664,-4.0878382,2020-01-01,07
8,2.2,0.0,1.2,43.1595664,-4.0878382,2020-01-01,08
9,4.6,0.0,1.7,43.1595664,-4.0878382,2020-01-01,09
10,7.7,0.0,1.5,43.1595664,-4.0878382,2020-01-01,10
11,9.7,0.0,0.8,43.1595664,-4.0878382,2020-01-01,11
12,9.8,0.0,1.1,43.1595664,-4.0878382,2020-01-01,12
13,9.4,0.0,1.0,43.1595664,-4.0878382,2020-01-01,13
14,9.2,0.0,0.7,43.1595664,-4.0878382,2020-01-01,14
15,8.4,0.0,0.8,43.1595664,-4.0878382,2020-01-01,15
16,6.8,0.0,0.7,43.1595664,-4.0878382,2020-01-01,16
17,4.8,0.0,1.2,43.1595664,-4.0878382,2020-01-01,17
18,3.6,0.0,1.5,43.1595664,-4.0878382,2020-01-01,18
19,4.0,0.0,1.4,43.1595664,-4.0878382,2020-01-01,19
20,4.3,0.0,1.6,43.1595664,-4.0878382,2020-01-01,20
21,4.0,0.0,1.9,43.1595664,-4.0878382,2020-01-01,21
22,4.6,0.0,1.9,43.1595664,-4.0878382,2020-01-01,22
23,4.7,0.0,1.6,43.1595664,-4.0878382,2020-01-01,23
24,4.5,0.0,1.3,43.1595664,-4.0878382,2020-01-02,00
25,4.4,0.0,1.3,43.1595664,-4.0878382,2020-01-02,01
26,3.2,0.0,1.9,43.1595664,-4.0878382,2020-01-02,02
27,3.4,0.0,2.3,43.1595664,-4.0878382,2020-01-02,03
28,5.1,0.0,2.5,43.1595664,-4.0878382,2020-01-02,04
29,6.2,0.0,2.0,43.1595664,-4.0878382,2020-01-02,05
30,6.3,0.0,1.7,43.1595664,-4.0878382,2020-01-02,06
31,6.5,0.0,1.7,43.1595664,-4.0878382,2020-01-02,07
32,6.8,0.0,1.1,43.1595664,-4.0878382,2020-01-02,08
33,7.8,0.0,1.2,43.1595664,-4.0878382,2020-01-02,09
34,9.0,0.0,1.0,43.1595664,-4.0878382,2020-01-02,10
35,10.9,0.0,0.9,43.1595664,-4.0878382,2020-01-02,11
36,11.7,0.0,0.8,43.1595664,-4.0878382,2020-01-02,12
37,11.5,0.0,1.0,43.1595664,-4.0878382,2020-01-02,13
38,10.6,0.0,0.8,43.1595664,-4.0878382,2020-01-02,14
39,8.6,0.0,0.8,43.1595664,-4.0878382,2020-01-02,15
40,6.7,0.0,0.7,43.1595664,-4.0878382,2020-01-02,16
41,5.5,0.0,0.9,43.1595664,-4.0878382,2020-01-02,17
42,3.3,0.0,1.6,43.1595664,-4.0878382,2020-01-02,18
43,3.8,0.0,1.6,43.1595664,-4.0878382,2020-01-02,19
44,3.5,0.0,1.6,43.1595664,-4.0878382,2020-01-02,20
45,3.4,0.0,1.1,43.1595664,-4.0878382,2020-01-02,21
46,2.7,0.0,1.2,43.1595664,-4.0878382,2020-01-02,22
47,2.6,0.0,1.3,43.1595664,-4.0878382,2020-01-02,23
48,2.5,0.0,1.0,43.1595664,-4.0878382,2020-01-03,00
49,2.2,0.0,1.2,43.1595664,-4.0878382,2020-01-03,01
50,2.3,0.0,1.9,43.1595664,-4.0878382,2020-01-03,02
51,2.0,0.0,1.9,43.1595664,-4.0878382,2020-01-03,03
52,2.0,0.0,2.2,43.1595664,-4.0878382,2020-01-03,04
53,2.5,0.0,2.7,43.1595664,-4.0878382,2020-01-03,05
54,2.7,0.0,2.6,43.1595664,-4.0878382,2020-01-03,06
55,3.4,0.0,2.4,43.1595664,-4.0878382,2020-01-03,07
56,4.0,0.0,2.2,43.1595664,-4.0878382,2020-01-03,08
57,4.3,0.0,1.9,43.1595664,-4.0878382,2020-01-03,09
