,t_2m:C,precip_1h:mm,wind_speed_10m:ms,Latitud,Longitud,Fecha,Hora
0,0.3,0.0,1.4,42.6125488,-1.8307877,2020-01-01,00
1,-0.5,0.0,1.2,42.6125488,-1.8307877,2020-01-01,01
2,-1.5,0.0,1.1,42.6125488,-1.8307877,2020-01-01,02
3,-1.7,0.0,1.0,42.6125488,-1.8307877,2020-01-01,03
4,-2.3,0.0,1.2,42.6125488,-1.8307877,2020-01-01,04
5,-2.4,0.0,1.3,42.6125488,-1.8307877,2020-01-01,05
6,-2.2,0.0,1.5,42.6125488,-1.8307877,2020-01-01,06
7,-1.3,0.0,1.5,42.6125488,-1.8307877,2020-01-01,07
8,-1.2,0.0,1.7,42.6125488,-1.8307877,2020-01-01,08
9,0.6,0.0,1.1,42.6125488,-1.8307877,2020-01-01,09
10,2.5,0.0,0.5,42.6125488,-1.8307877,2020-01-01,10
11,4.9,0.0,0.3,42.6125488,-1.8307877,2020-01-01,11
12,6.8,0.0,0.5,42.6125488,-1.8307877,2020-01-01,12
13,6.5,0.0,1.1,42.6125488,-1.8307877,2020-01-01,13
14,7.0,0.0,1.1,42.6125488,-1.8307877,2020-01-01,14
15,6.9,0.0,1.3,42.6125488,-1.8307877,2020-01-01,15
16,5.0,0.0,1.1,42.6125488,-1.8307877,2020-01-01,16
17,2.6,0.0,1.4,42.6125488,-1.8307877,2020-01-01,17
18,2.5,0.0,0.7,42.6125488,-1.8307877,2020-01-01,18
19,0.9,0.0,0.7,42.6125488,-1.8307877,2020-01-01,19
20,-0.1,0.0,0.1,42.6125488,-1.8307877,2020-01-01,20
21,-1.3,0.0,0.2,42.6125488,-1.8307877,2020-01-01,21
22,-1.2,0.0,0.5,42.6125488,-1.8307877,2020-01-01,22
23,-1.2,0.0,0.5,42.6125488,-1.8307877,2020-01-01,23
24,-0.9,0.0,0.5,42.6125488,-1.8307877,2020-01-02,00
25,-0.8,0.0,1.2,42.6125488,-1.8307877,2020-01-02,01
26,-0.8,0.0,0.6,42.6125488,-1.8307877,2020-01-02,02
27,-0.6,0.0,0.5,42.6125488,-1.8307877,2020-01-02,03
28,-0.4,0.0,0.9,42.6125488,-1.8307877,2020-01-02,04
29,-0.8,0.0,0.8,42.6125488,-1.8307877,2020-01-02,05
30,-1.1,0.0,0.4,42.6125488,-1.8307877,2020-01-02,06
31,-1.3,0.0,0.5,42.6125488,-1.8307877,2020-01-02,07
32,-1.4,0.0,0.4,42.6125488,-1.8307877,2020-01-02,08
33,-0.9,0.0,0.3,42.6125488,-1.8307877,2020-01-02,09
34,-0.0,0.0,0.6,42.6125488,-1.8307877,2020-01-02,10
35,0.7,0.0,0.6,42.6125488,-1.8307877,2020-01-02,11
36,2.0,0.0,0.8,42.6125488,-1.8307877,2020-01-02,12
37,1.4,0.0,0.9,42.6125488,-1.8307877,2020-01-02,13
38,2.0,0.0,0.9,42.6125488,-1.8307877,2020-01-02,14
39,1.7,0.0,0.8,42.6125488,-1.8307877,2020-01-02,15
40,0.6,0.0,0.6,42.6125488,-1.8307877,2020-01-02,16
41,-0.3,0.0,0.9,42.6125488,-1.8307877,2020-01-02,17
42,-0.9,0.0,1.1,42.6125488,-1.8307877,2020-01-02,18
43,-0.9,0.0,1.2,42.6125488,-1.8307877,2020-01-02,19
44,-1.0,0.0,1.4,42.6125488,-1.8307877,2020-01-02,20
45,-0.7,0.0,1.3,42.6125488,-1.8307877,2020-01-02,21
46,-0.7,0.0,0.9,42.6125488,-1.8307877,2020-01-02,22
47,-0.7,0.0,0.3,42.6125488,-1.8307877,2020-01-02,23
48,-1.2,0.0,0.9,42.6125488,-1.8307877,2020-01-03,00
49,-1.2,0.0,0.5,42.6125488,-1.8307877,2020-01-03,01
50,-1.0,0.0,0.2,42.6125488,-1.8307877,2020-01-03,02
