,t_2m:C,precip_1h:mm,wind_speed_10m:ms,Latitud,Longitud,Fecha,Hora
0,8.5,0.0,2.3,37.3886303,-5.9953403,2020-01-01,00
1,7.8,0.0,2.1,37.3886303,-5.9953403,2020-01-01,01
2,7.6,0.0,2.2,37.3886303,-5.9953403,2020-01-01,02
3,7.4,0.0,2.3,37.3886303,-5.9953403,2020-01-01,03
4,7.2,0.0,2.3,37.3886303,-5.9953403,2020-01-01,04
5,7.1,0.0,2.4,37.3886303,-5.9953403,2020-01-01,05
6,7.1,0.0,2.4,37.3886303,-5.9953403,2020-01-01,06
7,6.7,0.0,2.0,37.3886303,-5.9953403,2020-01-01,07
8,6.9,0.0,2.0,37.3886303,-5.9953403,2020-01-01,08
9,8.9,0.0,2.4,37.3886303,-5.9953403,2020-01-01,09
10,11.0,0.0,2.4,37.3886303,-5.9953403,2020-01-01,10
11,13.0,0.0,2.3,37.3886303,-5.9953403,2020-01-01,11
12,14.5,0.0,2.1,37.3886303,-5.9953403,2020-01-01,12
13,15.3,0.0,1.3,37.3886303,-5.9953403,2020-01-01,13
14,16.1,0.0,1.1,37.3886303,-5.9953403,2020-01-01,14
15,16.4,0.0,0.8,37.3886303,-5.9953403,2020-01-01,15
16,16.2,0.0,0.3,37.3886303,-5.9953403,2020-01-01,16
17,15.3,0.0,0.4,37.3886303,-5.9953403,2020-01-01,17
18,14.2,0.0,0.6,37.3886303,-5.9953403,2020-01-01,18
19,13.1,0.0,0.7,37.3886303,-5.9953403,2020-01-01,19
20,12.2,0.0,0.5,37.3886303,-5.9953403,2020-01-01,20
21,11.8,0.0,0.2,37.3886303,-5.9953403,2020-01-01,21
22,10.5,0.0,0.7,37.3886303,-5.9953403,2020-01-01,22
23,8.7,0.0,1.1,37.3886303,-5.9953403,2020-01-01,23
24,7.8,0.0,1.2,37.3886303,-5.9953403,2020-01-02,00
25,7.3,0.0,1.3,37.3886303,-5.9953403,2020-01-02,01
26,6.3,0.0,1.5,37.3886303,-5.9953403,2020-01-02,02
27,5.7,0.0,1.5,37.3886303,-5.9953403,2020-01-02,03
28,5.5,0.0,1.7,37.3886303,-5.9953403,2020-01-02,04
29,5.5,0.0,1.7,37.3886303,-5.9953403,2020-01-02,05
30,5.5,0.0,1.7,37.3886303,-5.9953403,2020-01-02,06
31,5.5,0.0,1.6,37.3886303,-5.9953403,2020-01-02,07
32,5.6,0.0,1.6,37.3886303,-5.9953403,2020-01-02,08
33,7.5,0.0,1.5,37.3886303,-5.9953403,2020-01-02,09
34,9.8,0.0,1.5,37.3886303,-5.9953403,2020-01-02,10
35,12.2,0.0,1.4,37.3886303,-5.9953403,2020-01-02,11
36,14.1,0.0,1.1,37.3886303,-5.9953403,2020-01-02,12
37,15.1,0.0,0.3,37.3886303,-5.9953403,2020-01-02,13
38,15.8,0.0,0.8,37.3886303,-5.9953403,2020-01-02,14
39,16.1,0.0,1.0,37.3886303,-5.9953403,2020-01-02,15
40,15.9,0.0,0.6,37.3886303,-5.9953403,2020-01-02,16
41,13.8,0.0,1.0,37.3886303,-5.9953403,2020-01-02,17
42,11.7,0.0,1.5,37.3886303,-5.9953403,2020-01-02,18
43,11.0,0.0,2.0,37.3886303,-5.9953403,2020-01-02,19
44,9.9,0.0,2.2,37.3886303,-5.9953403,2020-01-02,20
45,9.3,0.0,2.1,37.3886303,-5.9953403,2020-01-02,21
46,8.3,0.0,2.0,37.3886303,-5.9953403,2020-01-02,22
47,7.5,0.0,2.1,37.3886303,-5.9953403,2020-01-02,23
48,8.2,0.0,1.6,37.3886303,-5.9953403,2020-01-03,00
49,7.3,0.0,1.3,37.3886303,-5.9953403,2020-01-03,01
50,7.1,0.0,1.4,37.3886303,-5.9953403,2020-01-03,02
51,7.4,0.0,1.2,37.3886303,-5.9953403,2020-01-03,03
52,7.0,0.0,1.5,37.3886303,-5.9953403,2020-01-03,04
53,6.7,0.0,1.6,37.3886303,-5.9953403,2020-01-03,05
54,6.8,0.0,1.9,37.3886303,-5.9953403,2020-01-03,06
55,7.1,0.0,2.2,37.3886303,-5.9953403,2020-01-03,07
56,7.3,0.0,2.4,37.3886303,-5.9953403,2020-01-03,08
57,8.5,0.0,2.3,37.3886303,-5.9953403,2020-01-03,09
58,10.6,0.0,2.2,37.3886303,-5.9953403,2020-01-03,10
59,12.0,0.0,2.1,37.3886303,-5.9953403,2020-01-03,11
60,13.8,0.0,2.2,37.3886303,-5.9953403,2020-01-03,12
61,14.7,0.0,1.6,37.3886303,-5.9953403,2020-01-03,13
62,15.4,0.0,1.7,37.3886303,-5.9953403,2020-01-03,14
63,15.5,0.0,1.3,37.3886303,-5.9953403,2020-01-03,15
64,15.4,0.0,1.0,37.3886303,-5.9953403,2020-01-03,16
65,13.3,0.0,1.3,37.3886303,-5.9953403,2020-01-03,17
66,11.1,0.0,1.8,37.3886303,-5.9953403,2020-01-03,18
67,12.3,0.0,0.6,37.3886303,-5.9953403,2020-01-03,19
68,9.7,0.0,1.4,37.3886303,-5.9953403,2020-01-03,20
69,9.6,0.0,2.5,37.3886303,-5.9953403,2020-01-03,21
70,9.1,0.0,2.4,37.3886303,-5.9953403,2020-01-03,22
71,8.0,0.0,2.2,37.3886303,-5.9953403,2020-01-03,23
72,7.0,0.0,2.1,37.3886303,-5.9953403,2020-01-04,00
73,6.6,0.0,2.1,37.3886303,-5.9953403,2020-01-04,01
74,6.3,0.0,2.2,37.3886303,-5.9953403,2020-01-04,02
75,6.0,0.0,2.0,37.3886303,-5.9953403,2020-01-04,03
76,5.6,0.0,2.0,37.3886303,-5.9953403,2020-01-04,04
77,5.2,0.0,2.0,37.3886303,-5.9953403,2020-01-04,05
78,5.2,0.0,2.1,37.3886303,-5.9953403,2020-01-04,06
79,5.3,0.0,2.2,37.3886303,-5.9953403,2020-01-04,07
80,5.6,0.0,2.3,37.3886303,-5.9953403,2020-01-04,08
81,7.7,0.0,2.6,37.3886303,-5.9953403,2020-01-04,09
82,10.0,0.0,3.0,37.3886303,-5.9953403,2020-01-04,10
83,11.7,0.0,3.7,37.3886303,-5.9953403,2020-01-04,11
84,13.2,0.0,3.5,37.3886303,-5.9953403,2020-01-04,12
85,13.5,0.0,3.3,37.3886303,-5.9953403,2020-01-04,13
86,14.1,0.0,2.9,37.3886303,-5.9953403,2020-01-04,14
87,14.3,0.0,2.5,37.3886303,-5.9953403,2020-01-04,15
88,14.3,0.0,2.2,37.3886303,-5.9953403,2020-01-04,16
89,12.3,0.0,2.0,37.3886303,-5.9953403,2020-01-04,17
90,11.1,0.0,2.6,37.3886303,-5.9953403,2020-01-04,18
91,10.8,0.0,2.4,37.3886303,-5.9953403,2020-01-04,19
92,10.9,0.0,2.2,37.3886303,-5.9953403,2020-01-04,20
