,t_2m:C,precip_1h:mm,wind_speed_10m:ms,Latitud,Longitud,Fecha,Hora
0,4.9,0.0,1.0,42.61946,-7.863112,2020-01-01,00
1,5.0,0.0,1.5,42.61946,-7.863112,2020-01-01,01
2,3.5,0.0,2.0,42.61946,-7.863112,2020-01-01,02
3,3.9,0.0,1.8,42.61946,-7.863112,2020-01-01,03
4,5.0,0.0,1.3,42.61946,-7.863112,2020-01-01,04
5,4.9,0.0,1.4,42.61946,-7.863112,2020-01-01,05
6,3.9,0.0,1.8,42.61946,-7.863112,2020-01-01,06
7,4.1,0.0,1.5,42.61946,-7.863112,2020-01-01,07
8,3.3,0.0,2.1,42.61946,-7.863112,2020-01-01,08
9,3.9,0.0,2.2,42.61946,-7.863112,2020-01-01,09
10,6.7,0.0,2.4,42.61946,-7.863112,2020-01-01,10
11,8.5,0.0,2.4,42.61946,-7.863112,2020-01-01,11
12,9.7,0.0,2.4,42.61946,-7.863112,2020-01-01,12
13,9.8,0.0,2.4,42.61946,-7.863112,2020-01-01,13
14,10.1,0.0,1.5,42.61946,-7.863112,2020-01-01,14
15,9.7,0.0,1.1,42.61946,-7.863112,2020-01-01,15
16,7.7,0.0,1.0,42.61946,-7.863112,2020-01-01,16
17,5.3,0.0,1.6,42.61946,-7.863112,2020-01-01,17
18,4.4,0.0,2.0,42.61946,-7.863112,2020-01-01,18
19,4.7,0.0,2.2,42.61946,-7.863112,2020-01-01,19
20,4.9,0.0,2.5,42.61946,-7.863112,2020-01-01,20
21,4.3,0.0,2.8,42.61946,-7.863112,2020-01-01,21
22,3.7,0.0,3.0,42.61946,-7.863112,2020-01-01,22
23,3.3,0.0,3.3,42.61946,-7.863112,2020-01-01,23
24,3.1,0.0,3.5,42.61946,-7.863112,2020-01-02,00
25,2.9,0.0,3.7,42.61946,-7.863112,2020-01-02,01
26,2.8,0.0,3.7,42.61946,-7.863112,2020-01-02,02
27,2.8,0.0,3.6,42.61946,-7.863112,2020-01-02,03
28,2.8,0.0,3.7,42.61946,-7.863112,2020-01-02,04
29,2.9,0.0,3.8,42.61946,-7.863112,2020-01-02,05
30,3.0,0.0,3.9,42.61946,-7.863112,2020-01-02,06
31,2.5,0.0,3.8,42.61946,-7.863112,2020-01-02,07
32,2.6,0.0,3.9,42.61946,-7.863112,2020-01-02,08
33,3.7,0.0,4.2,42.61946,-7.863112,2020-01-02,09
34,4.8,0.0,4.8,42.61946,-7.863112,2020-01-02,10
35,5.8,0.0,4.9,42.61946,-7.863112,2020-01-02,11
36,6.3,0.0,5.1,42.61946,-7.863112,2020-01-02,12
37,6.0,0.0,5.0,42.61946,-7.863112,2020-01-02,13
38,6.2,0.0,4.8,42.61946,-7.863112,2020-01-02,14
39,5.6,0.0,4.5,42.61946,-7.863112,2020-01-02,15
40,5.2,0.0,4.5,42.61946,-7.863112,2020-01-02,16
41,4.6,0.0,4.5,42.61946,-7.863112,2020-01-02,17
42,4.0,0.0,4.4,42.61946,-7.863112,2020-01-02,18
43,4.2,0.0,4.3,42.61946,-7.863112,2020-01-02,19
44,4.0,0.0,3.8,42.61946,-7.863112,2020-01-02,20
45,3.9,0.0,3.4,42.61946,-7.863112,2020-01-02,21
46,4.2,0.0,3.4,42.61946,-7.863112,2020-01-02,22
47,4.3,0.0,3.2,42.61946,-7.863112,2020-01-02,23
48,4.3,0.0,3.1,42.61946,-7.863112,2020-01-03,00
49,5.1,0.0,3.5,42.61946,-7.863112,2020-01-03,01
50,5.2,0.0,3.4,42.61946,-7.863112,2020-01-03,02
51,5.4,0.0,3.5,42.61946,-7.863112,2020-01-03,03
52,5.3,0.0,3.5,42.61946,-7.863112,2020-01-03,04
53,5.5,0.0,3.6,42.61946,-7.863112,2020-01-03,05
54,5.5,0.0,3.7,42.61946,-7.863112,2020-01-03,06
55,5.9,0.0,3.8,42.61946,-7.863112,2020-01-03,07
56,5.5,0.0,3.2,42.61946,-7.863112,2020-01-03,08
57,6.1,0.0,3.3,42.61946,-7.863112,2020-01-03,09
58,7.3,0.0,3.5,42.61946,-7.863112,2020-01-03,10
59,8.0,0.0,3.3,42.61946,-7.863112,2020-01-03,11
60,8.9,0.0,2.7,42.61946,-7.863112,2020-01-03,12
61,8.2,0.0,1.3,42.61946,-7.863112,2020-01-03,13
62,8.8,0.0,1.0,42.61946,-7.863112,2020-01-03,14
63,9.4,0.0,0.5,42.61946,-7.863112,2020-01-03,15
64,8.9,0.0,0.6,42.61946,-7.863112,2020-01-03,16
65,6.5,0.0,1.7,42.61946,-7.863112,2020-01-03,17
66,5.0,0.0,2.0,42.61946,-7.863112,2020-01-03,18
67,5.6,0.0,2.0,42.61946,-7.863112,2020-01-03,19
68,4.9,0.0,2.2,42.61946,-7.863112,2020-01-03,20
69,4.5,0.0,2.4,42.61946,-7.863112,2020-01-03,21
70,4.3,0.0,2.7,42.61946,-7.863112,2020-01-03,22
71,4.1,0.0,3.2,42.61946,-7.863112,2020-01-03,23
72,4.1,0.0,3.4,42.61946,-7.863112,2020-01-04,00
73,4.0,0.0,2.0,42.61946,-7.863112,2020-01-04,01
74,3.4,0.0,1.5,42.61946,-7.863112,2020-01-04,02
75,3.3,0.0,1.3,42.61946,-7.863112,2020-01-04,03
76,3.3,0.0,1.2,42.61946,-7.863112,2020-01-04,04
77,3.8,0.0,1.1,42.61946,-7.863112,2020-01-04,05
78,3.5,0.0,1.3,42.61946,-7.863112,2020-01-04,06
79,3.3,0.0,1.4,42.61946,-7.863112,2020-01-04,07
80,2.9,0.0,1.4,42.61946,-7.863112,2020-01-04,08
81,3.2,0.0,1.7,42.61946,-7.863112,2020-01-04,09
82,4.0,0.0,1.6,42.61946,-7.863112,2020-01-04,10
83,5.2,0.0,1.7,42.61946,-7.863112,2020-01-04,11
84,6.1,0.0,1.8,42.61946,-7.863112,2020-01-04,12
85,6.4,0.0,2.0,42.61946,-7.863112,2020-01-04,13
86,7.1,0.0,2.3,42.61946,-7.863112,2020-01-04,14
87,7.1,0.0,2.2,42.61946,-7.863112,2020-01-04,15
88,6.7,0.0,2.0,42.61946,-7.863112,2020-01-04,16
89,4.8,0.0,1.5,42.61946,-7.863112,2020-01-04,17
90,4.2,0.0,1.0,42.61946,-7.863112,2020-01-04,18
91,3.3,0.0,1.5,42.61946,-7.863112,2020-01-04,19
92,3.3,0.0,1.7,42.61946,-7.863112,2020-01-04,20
93,2.6,0.0,2.0,42.61946,-7.863112,2020-01-04,21
94,2.6,0.0,1.8,42.61946,-7.863112,2020-01-04,22
95,2.7,0.0,1.8,42.61946,-7.863112,2020-01-04,23
96,1.7,0.0,2.2,42.61946,-7.863112,2020-01-05,00
97,1.8,0.0,2.3,42.61946,-7.863112,2020-01-05,01
98,1.7,0.0,2.4,42.61946,-7.863112,2020-01-05,02
99,1.4,0.0,2.3,42.61946,-7.863112,2020-01-05,03
100,2.5,0.0,1.7,42.61946,-7.863112,2020-01-05,04
101,2.1,0.0,1.4,42.61946,-7.863112,2020-01-05,05
102,0.3,0.0,1.9,42.61946,-7.863112,2020-01-05,06
103,0.7,0.0,2.1,42.61946,-7.863112,2020-01-05,07
104,1.2,0.0,2.4,42.61946,-7.863112,2020-01-05,08
105,2.4,0.0,3.1,42.61946,-7.863112,2020-01-05,09
106,4.3,0.0,3.4,42.61946,-7.863112,2020-01-05,10
107,5.7,0.0,3.2,42.61946,-7.863112,2020-01-05,11
108,6.9,0.0,2.8,42.61946,-7.863112,2020-01-05,12
109,7.6,0.0,2.7,42.61946,-7.863112,2020-01-05,13
110,8.4,0.0,2.6,42.61946,-7.863112,2020-01-05,14
111,8.3,0.0,2.2,42.61946,-7.863112,2020-01-05,15
112,7.3,0.0,1.3,42.61946,-7.863112,2020-01-05,16
113,6.0,0.0,1.3,42.61946,-7.863112,2020-01-05,17
114,5.2,0.0,1.2,42.61946,-7.863112,2020-01-05,18
115,3.8,0.0,2.0,42.61946,-7.863112,2020-01-05,19
116,2.7,0.0,2.4,42.61946,-7.863112,2020-01-05,20
117,2.7,0.0,2.8,42.61946,-7.863112,2020-01-05,21
118,2.7,0.0,3.1,42.61946,-7.863112,2020-01-05,22
119,2.8,0.0,3.4,42.61946,-7.863112,2020-01-05,23
120,2.7,0.0,3.4,42.61946,-7.863112,2020-01-06,00
121,2.0,0.0,3.2,42.61946,-7.863112,2020-01-06,01
122,1.4,0.0,2.8,42.61946,-7.863112,2020-01-06,02
123,1.8,0.0,2.6,42.61946,-7.863112,2020-01-06,03
124,2.4,0.0,2.5,42.61946,-7.863112,2020-01-06,04
125,1.5,0.0,2.5,42.61946,-7.863112,2020-01-06,05
126,1.0,0.0,2.5,42.61946,-7.863112,2020-01-06,06
127,0.3,0.0,2.9,42.61946,-7.863112,2020-01-06,07
128,0.4,0.0,3.1,42.61946,-7.863112,2020-01-06,08
129,2.6,0.0,2.6,42.61946,-7.863112,2020-01-06,09
130,4.9,0.0,2.7,42.61946,-7.863112,2020-01-06,10
131,6.4,0.42,2.3,42.61946,-7.863112,2020-01-06,11
132,6.5,0.12,2.7,42.61946,-7.863112,2020-01-06,12
133,6.7,0.0,2.3,42.61946,-7.863112,2020-01-06,13
134,6.7,0.0,2.6,42.61946,-7.863112,2020-01-06,14
135,6.4,0.0,2.3,42.61946,-7.863112,2020-01-06,15
136,4.6,0.0,1.4,42.61946,-7.863112,2020-01-06,16
137,4.3,0.0,0.9,42.61946,-7.863112,2020-01-06,17
138,2.7,0.0,1.0,42.61946,-7.863112,2020-01-06,18
139,4.4,0.0,0.2,42.61946,-7.863112,2020-01-06,19
140,4.3,0.0,0.6,42.61946,-7.863112,2020-01-06,20
141,3.3,0.0,1.2,42.61946,-7.863112,2020-01-06,21
142,2.5,0.0,1.7,42.61946,-7.863112,2020-01-06,22
143,2.7,0.0,1.8,42.61946,-7.863112,2020-01-06,23
144,2.5,0.0,2.2,42.61946,-7.863112,2020-01-07,00
145,2.0,0.0,2.5,42.61946,-7.863112,2020-01-07,01
146,1.5,0.0,2.9,42.61946,-7.863112,2020-01-07,02
147,1.9,0.0,3.2,42.61946,-7.863112,2020-01-07,03
148,1.7,0.0,3.2,42.61946,-7.863112,2020-01-07,04
149,2.0,0.0,3.2,42.61946,-7.863112,2020-01-07,05
150,2.1,0.0,3.3,42.61946,-7.863112,2020-01-07,06
151,1.7,0.0,3.6,42.61946,-7.863112,2020-01-07,07
152,1.4,0.0,3.6,42.61946,-7.863112,2020-01-07,08
153,3.5,0.0,3.2,42.61946,-7.863112,2020-01-07,09
154,5.6,0.0,3.6,42.61946,-7.863112,2020-01-07,10
155,7.1,0.0,2.5,42.61946,-7.863112,2020-01-07,11
156,8.6,0.0,1.9,42.61946,-7.863112,2020-01-07,12
157,9.2,0.0,2.3,42.61946,-7.863112,2020-01-07,13
158,9.3,0.0,2.1,42.61946,-7.863112,2020-01-07,14
159,9.2,0.0,1.6,42.61946,-7.863112,2020-01-07,15
160,7.3,0.0,1.4,42.61946,-7.863112,2020-01-07,16
161,4.8,0.0,2.3,42.61946,-7.863112,2020-01-07,17
162,4.4,0.0,2.2,42.61946,-7.863112,2020-01-07,18
163,4.9,0.0,2.1,42.61946,-7.863112,2020-01-07,19
164,4.8,0.0,2.3,42.61946,-7.863112,2020-01-07,20
165,4.8,0.0,2.1,42.61946,-7.863112,2020-01-07,21
166,5.0,0.0,1.8,42.61946,-7.863112,2020-01-07,22
167,5.4,0.0,2.0,42.61946,-7.863112,2020-01-07,23
168,5.2,0.0,2.0,42.61946,-7.863112,2020-01-08,00
169,6.2,0.0,1.3,42.61946,-7.863112,2020-01-08,01
170,6.8,0.0,0.9,42.61946,-7.863112,2020-01-08,02
171,6.7,0.0,1.1,42.61946,-7.863112,2020-01-08,03
172,6.6,0.0,0.9,42.61946,-7.863112,2020-01-08,04
173,6.8,0.0,0.5,42.61946,-7.863112,2020-01-08,05
174,7.3,0.0,0.4,42.61946,-7.863112,2020-01-08,06
175,6.2,0.0,0.8,42.61946,-7.863112,2020-01-08,07
176,5.3,0.0,1.4,42.61946,-7.863112,2020-01-08,08
177,5.9,0.0,1.2,42.61946,-7.863112,2020-01-08,09
178,7.5,0.0,1.4,42.61946,-7.863112,2020-01-08,10
179,8.6,0.0,1.6,42.61946,-7.863112,2020-01-08,11
180,9.4,0.0,1.6,42.61946,-7.863112,2020-01-08,12
181,9.7,0.0,1.7,42.61946,-7.863112,2020-01-08,13
182,9.3,0.0,2.0,42.61946,-7.863112,2020-01-08,14
183,9.3,0.0,1.9,42.61946,-7.863112,2020-01-08,15
184,8.6,0.0,2.1,42.61946,-7.863112,2020-01-08,16
185,7.6,0.0,2.4,42.61946,-7.863112,2020-01-08,17
186,7.3,0.0,2.7,42.61946,-7.863112,2020-01-08,18
187,7.5,0.0,2.5,42.61946,-7.863112,2020-01-08,19
188,6.6,0.0,2.6,42.61946,-7.863112,2020-01-08,20
189,7.0,0.0,2.5,42.61946,-7.863112,2020-01-08,21
190,7.0,0.0,2.6,42.61946,-7.863112,2020-01-08,22
191,7.3,0.0,2.8,42.61946,-7.863112,2020-01-08,23
192,7.1,0.0,3.0,42.61946,-7.863112,2020-01-09,00
193,7.8,0.0,3.5,42.61946,-7.863112,2020-01-09,01
