,t_2m:C,precip_1h:mm,wind_speed_10m:ms,Latitud,Longitud,Fecha,Hora
0,5.6,0.0,1.1,37.9166355,-1.4779797,2020-01-01,00
1,6.9,0.0,0.8,37.9166355,-1.4779797,2020-01-01,01
2,7.8,0.0,0.7,37.9166355,-1.4779797,2020-01-01,02
3,7.8,0.0,0.5,37.9166355,-1.4779797,2020-01-01,03
4,7.4,0.0,0.5,37.9166355,-1.4779797,2020-01-01,04
5,6.8,0.0,0.8,37.9166355,-1.4779797,2020-01-01,05
6,7.2,0.0,0.8,37.9166355,-1.4779797,2020-01-01,06
7,6.7,0.0,1.1,37.9166355,-1.4779797,2020-01-01,07
8,6.6,0.0,1.0,37.9166355,-1.4779797,2020-01-01,08
9,8.5,0.0,0.5,37.9166355,-1.4779797,2020-01-01,09
10,10.4,0.0,0.3,37.9166355,-1.4779797,2020-01-01,10
11,11.9,0.0,0.4,37.9166355,-1.4779797,2020-01-01,11
12,13.1,0.0,0.7,37.9166355,-1.4779797,2020-01-01,12
13,13.7,0.0,0.9,37.9166355,-1.4779797,2020-01-01,13
14,14.1,0.0,1.1,37.9166355,-1.4779797,2020-01-01,14
15,13.9,0.0,1.3,37.9166355,-1.4779797,2020-01-01,15
16,12.6,0.0,1.0,37.9166355,-1.4779797,2020-01-01,16
17,9.6,0.0,1.8,37.9166355,-1.4779797,2020-01-01,17
18,7.9,0.0,1.7,37.9166355,-1.4779797,2020-01-01,18
19,7.4,0.0,1.4,37.9166355,-1.4779797,2020-01-01,19
20,7.2,0.0,1.2,37.9166355,-1.4779797,2020-01-01,20
21,7.6,0.0,0.9,37.9166355,-1.4779797,2020-01-01,21
22,7.4,0.0,0.8,37.9166355,-1.4779797,2020-01-01,22
23,8.0,0.0,0.6,37.9166355,-1.4779797,2020-01-01,23
24,7.8,0.0,0.4,37.9166355,-1.4779797,2020-01-02,00
25,6.8,0.0,0.9,37.9166355,-1.4779797,2020-01-02,01
26,6.7,0.0,0.6,37.9166355,-1.4779797,2020-01-02,02
27,6.1,0.0,0.7,37.9166355,-1.4779797,2020-01-02,03
28,6.1,0.0,1.0,37.9166355,-1.4779797,2020-01-02,04
29,6.7,0.0,0.7,37.9166355,-1.4779797,2020-01-02,05
30,6.1,0.0,0.7,37.9166355,-1.4779797,2020-01-02,06
31,5.8,0.0,0.9,37.9166355,-1.4779797,2020-01-02,07
32,5.1,0.0,0.8,37.9166355,-1.4779797,2020-01-02,08
33,7.1,0.0,0.5,37.9166355,-1.4779797,2020-01-02,09
34,8.6,0.0,0.2,37.9166355,-1.4779797,2020-01-02,10
35,10.0,0.0,0.8,37.9166355,-1.4779797,2020-01-02,11
36,11.5,0.0,1.2,37.9166355,-1.4779797,2020-01-02,12
37,11.8,0.0,1.6,37.9166355,-1.4779797,2020-01-02,13
38,12.3,0.0,1.8,37.9166355,-1.4779797,2020-01-02,14
39,12.2,0.0,1.7,37.9166355,-1.4779797,2020-01-02,15
40,11.4,0.0,1.3,37.9166355,-1.4779797,2020-01-02,16
41,9.5,0.0,1.4,37.9166355,-1.4779797,2020-01-02,17
42,8.0,0.0,1.2,37.9166355,-1.4779797,2020-01-02,18
